phase,epoch,batch,batches_per_epoch,lr,train_loss,train_ber,train_fer,epoch_time_s,cum_updates,cum_time_s
1,98,200,200,9.65e-05,0.048,0.0184,0.207,14.353004932403564,19600,1401.0995788574219
1,99,200,200,9.64e-05,0.0472,0.0182,0.205,14.33473801612854,19800,1415.4343168735504
1,100,200,200,9.63e-05,0.0464,0.0179,0.202,14.353604793548584,20000,1429.787921667099
1,101,200,200,9.62e-05,0.0456,0.0176,0.198,14.347238063812256,20200,1444.1351597309113
1,102,200,200,9.62e-05,0.0457,0.0178,0.198,14.332641839981079,20400,1458.4678015708923
1,103,200,200,9.61e-05,0.0466,0.0177,0.198,14.375041246414185,20600,1472.8428428173065
1,104,200,200,9.6e-05,0.0466,0.0178,0.199,14.38235878944397,20800,1487.2252016067505
1,105,200,200,9.59e-05,0.0457,0.0175,0.195,14.366908311843872,21000,1501.5921099185944
1,106,200,200,9.59e-05,0.0453,0.0174,0.192,14.365564107894897,21200,1515.9576740264893
1,107,200,200,9.58e-05,0.0452,0.0174,0.192,14.36268925666809,21400,1530.3203632831573
1,108,200,200,9.57e-05,0.0468,0.0181,0.197,14.332105875015259,21600,1544.6524691581726
1,109,200,200,9.56e-05,0.0442,0.0169,0.187,14.32376217842102,21800,1558.9762313365936
1,110,200,200,9.55e-05,0.0448,0.0173,0.189,14.272438287734985,22000,1573.2486696243286
1,111,200,200,9.55e-05,0.044,0.017,0.187,14.34131383895874,22200,1587.5899834632874
1,112,200,200,9.54e-05,0.0452,0.0174,0.19,14.416353702545166,22400,1602.0063371658325
1,113,200,200,9.53e-05,0.0453,0.0175,0.189,14.387741804122925,22600,1616.3940789699554
1,114,200,200,9.52e-05,0.0436,0.0168,0.184,14.318341493606567,22800,1630.712420463562
1,115,200,200,9.51e-05,0.044,0.0168,0.187,14.283453702926636,23000,1644.9958741664886
1,116,200,200,9.5e-05,0.0436,0.0168,0.183,14.196845531463623,23200,1659.1927196979523
1,117,200,200,9.5e-05,0.0445,0.0171,0.186,14.281851291656494,23400,1673.4745709896088
1,118,200,200,9.49e-05,0.0446,0.0172,0.185,14.330431461334229,23600,1687.805002450943
1,119,200,200,9.48e-05,0.0439,0.017,0.185,14.33273959159851,23800,1702.1377420425415
1,120,200,200,9.47e-05,0.0434,0.0168,0.183,14.32905912399292,24000,1716.4668011665344
1,121,200,200,9.46e-05,0.0437,0.0169,0.183,14.331508159637451,24200,1730.7983093261719
1,122,200,200,9.45e-05,0.0432,0.0166,0.18,14.309033870697021,24400,1745.107343196869
1,123,200,200,9.44e-05,0.0425,0.0164,0.179,14.332250356674194,24600,1759.439593553543
