epoch,learning_rate,loss,ber,fer,train_time_seconds,is_best_loss
198,6.67e-05,0.0291,0.0118,0.107,70.1693742275238,False
199,6.64e-05,0.0284,0.0115,0.105,70.2611289024353,False
200,6.61e-05,0.0288,0.0117,0.107,70.2051112651825,False
201,6.58e-05,0.0287,0.0116,0.106,70.3463077545166,False
202,6.55e-05,0.0286,0.0116,0.106,70.53442549705505,False
203,6.52e-05,0.028,0.0113,0.104,70.47184252738953,False
204,6.49e-05,0.0281,0.0115,0.105,70.0003809928894,False
205,6.46e-05,0.0276,0.0112,0.103,70.35345268249512,True
206,6.43e-05,0.0284,0.0115,0.105,70.71945452690125,False
207,6.4e-05,0.0277,0.0113,0.103,70.4095389842987,False
208,6.37e-05,0.0278,0.0113,0.104,70.29866099357605,False
209,6.34e-05,0.028,0.0114,0.105,70.29724764823914,False
210,6.31e-05,0.0275,0.0111,0.102,70.39886474609375,True
211,6.28e-05,0.028,0.0114,0.104,70.72381973266602,False
212,6.25e-05,0.0284,0.0115,0.105,70.21446394920349,False
213,6.22e-05,0.0278,0.0113,0.103,69.99803256988525,False
214,6.19e-05,0.0279,0.0114,0.103,70.55494499206543,False
215,6.16e-05,0.0281,0.0114,0.104,70.45443487167358,False
216,6.13e-05,0.028,0.0114,0.104,70.07827520370483,False
217,6.1e-05,0.0279,0.0113,0.104,70.76448392868042,False
218,6.07e-05,0.0284,0.0115,0.105,70.31567907333374,False
219,6.04e-05,0.0279,0.0114,0.104,70.09043216705322,False
220,6.01e-05,0.0281,0.0114,0.105,70.09645819664001,False
221,5.98e-05,0.0279,0.0113,0.103,70.1968355178833,False
222,5.95e-05,0.0279,0.0114,0.103,70.0713541507721,False
223,5.92e-05,0.0281,0.0114,0.103,70.21911358833313,False
224,5.89e-05,0.0283,0.0115,0.104,70.04158663749695,False
225,5.86e-05,0.0284,0.0115,0.105,70.54804539680481,False
226,5.82e-05,0.0283,0.0115,0.105,70.38334035873413,False
227,5.79e-05,0.0286,0.0116,0.105,70.6157374382019,False
228,5.76e-05,0.028,0.0113,0.103,70.71669125556946,False
229,5.73e-05,0.0279,0.0113,0.103,70.1317138671875,False
230,5.7e-05,0.0278,0.0113,0.103,70.36813974380493,False
231,5.67e-05,0.0278,0.0113,0.103,70.52949500083923,False
232,5.64e-05,0.028,0.0114,0.104,69.97617483139038,False
233,5.61e-05,0.0278,0.0114,0.103,70.70122170448303,False
234,5.58e-05,0.028,0.0114,0.103,70.14324355125427,False
235,5.55e-05,0.0281,0.0114,0.103,70.1509006023407,False
236,5.52e-05,0.0278,0.0113,0.103,70.48460054397583,False
237,5.48e-05,0.0281,0.0114,0.104,70.76306748390198,False
238,5.45e-05,0.0276,0.0112,0.102,70.14348196983337,False
239,5.42e-05,0.028,0.0114,0.104,70.52215051651001,False
240,5.39e-05,0.0276,0.0112,0.101,70.61784076690674,False
241,5.36e-05,0.028,0.0114,0.103,69.98573184013367,False
242,5.33e-05,0.0274,0.0111,0.101,70.3027081489563,True
243,5.3e-05,0.0277,0.0113,0.102,70.6474039554596,False
244,5.27e-05,0.0279,0.0114,0.103,70.22193193435669,False
245,5.24e-05,0.0272,0.0111,0.1,69.99971318244934,True
246,5.21e-05,0.0276,0.0113,0.102,70.47329592704773,False
247,5.17e-05,0.0272,0.0111,0.102,70.70856428146362,False
248,5.14e-05,0.0276,0.0112,0.101,70.34373593330383,False
249,5.11e-05,0.0276,0.0112,0.101,70.31583547592163,False
250,5.08e-05,0.0277,0.0113,0.102,70.57732248306274,False
251,5.05e-05,0.0272,0.0111,0.1,70.90891599655151,False
252,5.02e-05,0.0272,0.0111,0.101,70.19412159919739,False
253,4.99e-05,0.0276,0.0113,0.102,70.88363194465637,False
254,4.96e-05,0.0275,0.0112,0.101,70.54596400260925,False
255,4.93e-05,0.0279,0.0114,0.103,70.24098610877991,False
256,4.89e-05,0.0271,0.0111,0.101,70.1584243774414,True
257,4.86e-05,0.0278,0.0113,0.102,70.41106081008911,False
258,4.83e-05,0.0278,0.0113,0.103,70.35501098632812,False
259,4.8e-05,0.0278,0.0113,0.103,70.40364336967468,False
260,4.77e-05,0.0273,0.0111,0.1,70.69374942779541,False
261,4.74e-05,0.0275,0.0112,0.102,70.61819672584534,False
262,4.71e-05,0.028,0.0114,0.103,70.35403418540955,False
263,4.68e-05,0.0273,0.0111,0.101,70.16568446159363,False
264,4.65e-05,0.0275,0.0112,0.101,70.32018947601318,False
265,4.62e-05,0.0275,0.0112,0.102,70.8280303478241,False
266,4.58e-05,0.0277,0.0112,0.101,70.87426042556763,False
267,4.55e-05,0.0276,0.0112,0.102,70.90132403373718,False
268,4.52e-05,0.0274,0.0112,0.101,70.78030562400818,False
269,4.49e-05,0.028,0.0114,0.103,70.50438690185547,False
270,4.46e-05,0.0274,0.0111,0.101,70.40303134918213,False
271,4.43e-05,0.0275,0.0112,0.101,70.52720522880554,False
272,4.4e-05,0.0271,0.011,0.101,70.04665803909302,False
273,4.37e-05,0.0275,0.0112,0.101,70.12442922592163,False
274,4.34e-05,0.0276,0.0112,0.102,70.1288115978241,False
275,4.31e-05,0.0274,0.0112,0.101,70.38691210746765,False
276,4.28e-05,0.0276,0.0113,0.102,70.50023460388184,False
277,4.24e-05,0.0274,0.0112,0.101,70.46741223335266,False
278,4.21e-05,0.0277,0.0113,0.102,70.5459463596344,False
279,4.18e-05,0.0276,0.0112,0.101,70.66021537780762,False
280,4.15e-05,0.0272,0.011,0.101,70.67388892173767,False
281,4.12e-05,0.0271,0.011,0.0993,70.60850143432617,False
282,4.09e-05,0.0272,0.0112,0.1,70.65857577323914,False
283,4.06e-05,0.0275,0.0112,0.102,70.65546011924744,False
284,4.03e-05,0.0273,0.0112,0.1,70.73615598678589,False
285,4e-05,0.0273,0.0111,0.1,70.72888374328613,False
286,3.97e-05,0.0278,0.0113,0.103,70.51612687110901,False
287,3.94e-05,0.0272,0.011,0.0992,70.61907958984375,False
